item_id	category_id	event_count	active_users	pv_count	intent_count	buy_count	buyer_users	buy_event_rate_pct	item_tag
2331370	3607361	197	165	176	21	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
3371523	1859277	176	133	175	1	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
2367945	1859277	168	127	168	0	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
1591862	1320293	167	127	167	0	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
2818406	982926	180	159	158	22	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
4649427	4756105	165	117	154	11	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
4211339	4756105	158	128	151	7	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
3920968	4756105	154	99	143	11	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
2828948	4145813	123	87	116	7	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
3563468	4801426	116	94	109	7	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
1951985	2735466	116	96	108	8	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
1434990	2096639	107	51	105	2	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
3708121	4756105	107	65	101	6	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
363858	2735466	109	84	96	13	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
1223110	3607361	102	78	96	6	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
3403645	3607361	103	74	91	12	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
2678768	4358294	90	85	89	1	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
1699547	154040	92	81	86	6	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
250498	982926	93	74	85	8	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
207994	4756105	91	65	83	8	0	0	0.0000	HIGH_TRAFFIC_NO_BUY
